,latitude,longitude
130,37.733795,-122.446747
131,45.815399,15.966568
132,39.056198,-95.695312
133,41.661129,-91.530167
134,40.73061,-73.935242
135,39.022774,-76.921753
136,34.052235,-118.243683
137,37.468319,-122.143936
138,37.733795,-122.446747
139,34.052235,-118.243683
140,48.210033,16.363449
141,52.370216,4.895168
142,43.073051,-89.40123
143,0.687796,122.97757
144,43.623409,-79.368683
145,37.733795,-122.446747
146,22.542883,114.062996
147,45.523064,-122.676483
148,37.733795,-122.446747
149,39.896042,-83.444595
150,40.73061,-73.935242
151,52.520008,13.404954
152,31.224361,121.46917
153,55.676098,12.568337
154,37.733795,-122.446747
155,40.440624,-79.995888
156,47.608013,-122.335167
157,37.733795,-122.446747
158,23.17926,77.454422
159,23.17926,77.454422
160,37.733795,-122.446747
161,37.468319,-122.143936
162,53.557899,-113.487289
163,52.314224,4.941841
164,1.29027,103.851959
165,37.733795,-122.446747
166,45.815399,15.966568
167,39.056198,-95.695312
168,41.661129,-91.530167
169,40.73061,-73.935242
170,39.022774,-76.921753
171,34.052235,-118.243683
172,37.468319,-122.143936
173,37.733795,-122.446747
174,34.052235,-118.243683
175,48.210033,16.363449
176,52.370216,4.895168
177,43.073051,-89.40123
178,0.687796,122.97757
179,43.623409,-79.368683
180,37.733795,-122.446747
181,22.542883,114.062996
182,45.523064,-122.676483
183,37.733795,-122.446747
184,39.896042,-83.444595
185,40.73061,-73.935242
186,52.520008,13.404954
187,31.224361,121.46917
188,55.676098,12.568337
189,37.733795,-122.446747
190,40.440624,-79.995888
191,47.608013,-122.335167
192,37.733795,-122.446747
193,23.17926,77.454422
194,23.17926,77.454422
195,37.733795,-122.446747
196,37.468319,-122.143936
197,53.557899,-113.487289
198,52.314224,4.941841
199,1.29027,103.851959
200,37.733795,-122.446747
201,45.815399,15.966568
202,39.056198,-95.695312
203,41.661129,-91.530167
204,40.73061,-73.935242
205,39.022774,-76.921753
206,34.052235,-118.243683
207,37.468319,-122.143936
208,37.733795,-122.446747
209,34.052235,-118.243683
210,48.210033,16.363449
211,52.370216,4.895168
212,43.073051,-89.40123
213,0.687796,122.97757
214,43.623409,-79.368683
215,37.733795,-122.446747
216,22.542883,114.062996
217,45.523064,-122.676483
218,37.733795,-122.446747
219,39.896042,-83.444595
220,40.73061,-73.935242
221,52.520008,13.404954
222,31.224361,121.46917
223,55.676098,12.568337
224,37.733795,-122.446747
225,40.440624,-79.995888
226,47.608013,-122.335167
227,37.733795,-122.446747
228,23.17926,77.454422
229,23.17926,77.454422
230,37.733795,-122.446747
